PaymentID,CustomerID,Amount,PaymentDate,PaymentMethod,PaymentStatus,LatePaymentFlag
1,1053,399,2025-12-01,UPI,Success,0
2,8941,199,2025-03-07,UPI,Success,0
3,697,199,2024-10-03,Wallet,Success,0
4,3230,399,2025-12-30,Wallet,Success,0
5,1765,399,2024-10-21,NetBanking,Success,0
6,8735,399,2025-08-28,Wallet,Success,0
7,3090,699,2025-07-23,UPI,Success,0
8,5765,399,2024-06-22,Card,Success,1
9,8974,699,2026-01-31,UPI,Success,1
10,5625,399,2025-01-10,NetBanking,Success,0
11,1569,199,2024-08-15,Card,Success,0
12,3637,699,2025-03-05,Card,Success,1
13,3353,399,2024-06-28,UPI,Success,0
14,8886,399,2025-10-26,Wallet,Failed,0
15,6355,699,2025-02-02,UPI,Success,0
16,4795,399,2025-01-18,Wallet,Success,0
17,2655,199,2025-10-15,Card,Success,0
18,2056,399,2024-03-27,Card,Success,0
19,7597,699,2025-02-15,Wallet,Success,0
20,7871,399,2024-08-11,NetBanking,Success,0
21,3025,699,2025-05-10,NetBanking,Success,0
22,974,399,2025-11-19,NetBanking,Success,0
23,9778,699,2026-02-01,Card,Failed,0
24,4299,199,2024-11-05,UPI,Success,0
25,9511,199,2024-04-11,Wallet,Success,0
26,6503,199,2025-04-30,NetBanking,Success,0
27,562,699,2024-05-21,Card,Success,0
28,7354,399,2025-06-22,Card,Success,0
29,9676,199,2025-12-20,NetBanking,Success,0
30,1639,699,2025-03-29,Wallet,Success,1
31,2419,399,2025-09-19,Wallet,Success,0
32,1701,399,2024-07-22,Wallet,Success,1
33,4211,199,2024-06-22,Wallet,Success,0
34,7796,399,2024-09-09,Card,Success,0
35,4756,399,2024-04-27,Wallet,Success,0
36,1974,399,2025-01-27,Wallet,Success,1
37,5517,399,2025-05-25,Wallet,Success,0
38,1335,699,2024-12-01,NetBanking,Success,0
39,2786,199,2025-04-10,Card,Success,0
40,4518,699,2025-12-23,Card,Success,0
41,8659,399,2024-07-27,Card,Success,0
42,3219,699,2024-08-30,NetBanking,Success,0
43,2636,699,2026-01-07,UPI,Success,0
44,9796,699,2024-11-04,NetBanking,Success,0
45,1982,399,2024-02-10,Wallet,Success,0
46,9220,699,2025-10-01,Wallet,Success,0
47,8690,399,2024-04-16,Wallet,Success,0
48,6830,699,2024-08-09,Wallet,Success,0
49,1238,699,2025-04-02,Card,Success,0
50,4621,199,2025-01-08,UPI,Success,1
51,7515,399,2025-06-27,Wallet,Success,1
52,3968,699,2024-10-09,Card,Success,0
53,7754,199,2025-04-06,Wallet,Failed,0
54,2308,199,2024-03-16,Card,Success,0
55,4907,199,2025-09-06,NetBanking,Success,0
56,3967,199,2024-09-21,UPI,Success,0
57,7404,699,2025-05-03,NetBanking,Success,0
58,5112,699,2025-02-28,Wallet,Success,1
59,3980,699,2024-02-16,UPI,Failed,0
60,8518,699,2024-10-07,Card,Success,0
61,2216,199,2024-03-15,Card,Success,0
62,1409,199,2024-05-05,NetBanking,Success,0
63,446,199,2024-07-04,Card,Failed,0
64,8693,199,2025-09-25,Card,Success,0
65,7626,199,2025-01-03,NetBanking,Success,0
66,7845,699,2025-08-14,Wallet,Success,0
67,5458,699,2024-03-20,Wallet,Success,0
68,6719,399,2024-02-15,Card,Success,0
69,452,699,2026-01-15,NetBanking,Success,0
70,2659,399,2025-07-11,NetBanking,Success,0
71,4679,199,2025-04-21,Wallet,Success,0
72,9320,399,2025-05-10,UPI,Success,0
73,4083,699,2025-05-23,Wallet,Failed,0
74,5286,399,2025-07-16,Wallet,Success,0
75,4333,199,2025-07-14,NetBanking,Success,0
76,7804,199,2025-02-23,NetBanking,Success,0
77,1887,699,2025-02-25,Wallet,Success,0
78,5349,399,2025-10-11,NetBanking,Success,0
79,6676,699,2024-10-10,Card,Success,0
80,5230,399,2025-04-25,Card,Success,0
81,7963,699,2026-02-02,Card,Success,1
82,2057,199,2025-04-02,UPI,Success,0
83,4972,199,2024-05-20,NetBanking,Success,0
84,3827,399,2025-08-23,NetBanking,Success,0
85,5283,199,2025-11-04,NetBanking,Success,0
86,4528,699,2025-07-05,Card,Success,0
87,2362,199,2026-02-09,Card,Success,0
88,4578,699,2026-01-17,Wallet,Success,0
89,1059,399,2024-09-26,UPI,Success,0
90,6534,699,2024-04-30,NetBanking,Failed,1
91,2922,699,2024-10-01,Card,Success,0
92,1469,399,2026-01-10,NetBanking,Success,0
93,9990,199,2025-10-30,UPI,Success,1
94,2256,399,2024-02-12,NetBanking,Success,0
95,8034,699,2025-03-22,NetBanking,Success,0
96,6337,699,2024-07-01,Card,Success,1
97,8765,699,2025-07-19,Card,Success,1
98,3675,699,2025-05-10,UPI,Success,1
99,2699,199,2025-03-10,Card,Success,0
100,9416,199,2025-02-08,NetBanking,Success,0
101,5783,199,2025-07-19,Wallet,Success,0
102,7182,399,2024-12-22,Card,Success,0
103,7746,699,2025-10-27,Wallet,Success,0
104,672,699,2024-05-05,Card,Success,1
105,7212,699,2025-04-03,UPI,Success,0
106,4341,199,2025-02-28,UPI,Success,0
107,3785,199,2025-07-15,Card,Success,1
