SubscriptionID,CustomerID,PlanID,StartDate,EndDate,Status,AutoRenew
915e0fca-028a-4c27-82be-b7e875a76451,1,1,2024-01-23,,Active,Yes
2e9293fb-d8c7-4b11-baed-36e7ae90f38a,2,3,2025-11-15,,Active,Yes
82b30614-6880-4731-a5dc-7cc0d3266db6,3,2,2026-01-19,2026-02-03,Churned,Yes
d2d3b54f-84f7-4456-9a05-30ded929c7c8,4,1,2026-02-04,2026-02-06,Churned,Yes
7c9be679-ea67-435a-a263-b08a7adcb424,5,2,2024-09-17,,Active,Yes
40638da6-051c-4e15-9d92-803c5aabdfa5,6,1,2025-11-27,,Active,Yes
a31bd772-8791-4f80-a095-099af6d9743c,7,2,2025-10-15,,Active,No
4f43e219-df8e-4e7a-bfd6-1aac5eadfc18,8,2,2024-03-31,,Active,Yes
7af5ee2d-2c77-4ebf-8cde-7238e62361c3,9,1,2025-01-10,,Active,Yes
4b40b6e1-3924-4d7e-adb1-3f05ec0a6292,10,2,2023-11-02,2024-08-18,Churned,No
98e93d72-0454-4e62-a6ef-f3d7169a4f9e,11,1,2025-02-15,2025-07-10,Churned,No
a7510570-58c5-4447-adc5-3eccebd7a779,12,1,2024-06-23,,Active,Yes
8d20100a-a610-4d88-a2ef-650ce6874107,13,2,2026-01-16,2026-01-28,Churned,Yes
93784adf-d932-4623-b6ce-553e1a26e1ef,14,3,2025-03-17,2025-06-01,Churned,Yes
4776532b-dd3b-48a8-9524-52f322f8679b,15,2,2024-01-15,2024-12-28,Churned,No
954aaa78-f485-4475-89c4-771b26be3bcd,16,2,2025-02-28,,Active,Yes
c818bde5-a606-4b32-b656-5d513ef60669,17,2,2025-03-12,2025-09-11,Churned,No
f572e08a-da3d-4f58-8b67-06aafde36149,18,3,2023-08-08,,Active,No
6d252db0-4657-4ed9-a7be-cd700468fb5e,19,3,2025-10-25,,Active,Yes
f572112a-44fc-4051-9a19-8dbc653716e2,20,3,2024-05-20,,Active,No
c4849a6c-9b5a-4d6f-a9fc-3d2d5b9f6a58,21,1,2025-10-02,,Active,No
f0f60e98-f5c0-4f6a-9d9d-6b6a5fceda3b,22,1,2025-10-10,,Active,Yes
fd188325-9c34-4cfa-9e4f-b3a923f31a34,23,1,2023-11-14,2023-11-23,Churned,No
eeda37d5-afda-4508-bb8d-f4adc0301224,24,2,2023-08-31,2024-12-27,Churned,No
1dbf0a22-858b-4154-b23c-039da226ecfe,25,1,2024-03-10,,Active,Yes
3b0152e8-9e42-4e7d-a889-cd4f4cf1fc84,26,3,2026-01-08,2026-02-03,Churned,Yes
2aac4972-400f-4d1d-9f66-f7926e317d1c,27,2,2024-10-28,,Active,No
2ade357a-b479-43d3-bd39-e3e7ea20ca6d,28,2,2024-12-04,,Active,Yes
ef5fcb93-660b-44b2-9596-2692ccafaaa9,29,3,2024-10-14,2024-11-11,Churned,Yes
