CustomerID,Gender,age,Region,JoinDate,CustomerSegment,TenureMonths,DeviceType,SupportTicketsCount
1,Female,38,South,2024-05-29,Postpaid,20,iOS,4
2,Male,35,East,2023-11-01,Postpaid,27,iOS,2
3,Female,43,South,2023-10-27,Postpaid,27,iOS,4
4,Female,18,South,2025-05-17,Prepaid,8,Feature Phone,2
5,Female,30,West,2023-08-19,Postpaid,30,iOS,5
6,Male,26,North,2021-06-16,Postpaid,56,Android,1
7,Female,62,South,2023-10-18,Prepaid,28,Android,2
8,Male,38,West,2024-02-23,Prepaid,23,iOS,3
9,Female,27,North,2022-07-20,Prepaid,43,iOS,1
10,Female,57,West,2024-08-01,Postpaid,18,Android,2
11,Male,57,North,2024-08-31,Postpaid,17,iOS,0
12,Male,24,South,2024-10-14,Postpaid,16,Android,3
13,Male,24,East,2023-08-03,Prepaid,30,Feature Phone,5
14,Male,42,East,2022-05-30,Postpaid,45,Android,5
15,Male,59,North,2024-04-21,Postpaid,22,Android,3
16,Male,21,West,2022-05-19,Prepaid,45,iOS,0
17,Male,41,East,2021-03-26,Prepaid,59,iOS,2
18,Male,51,East,2021-05-22,Postpaid,57,Feature Phone,5
19,Female,48,North,2024-06-22,Prepaid,19,iOS,3
20,Male,41,North,2021-03-07,Prepaid,60,iOS,3
21,Male,57,South,2023-11-19,Postpaid,27,Feature Phone,0
22,Male,22,West,2025-08-07,Postpaid,6,iOS,1
23,Female,50,North,2024-02-11,Prepaid,24,iOS,5
24,Female,33,South,2024-01-06,Postpaid,25,iOS,2
25,Male,18,East,2023-04-30,Prepaid,33,Feature Phone,0
26,Female,58,South,2023-04-13,Postpaid,34,Feature Phone,3
27,Male,35,North,2021-03-11,Postpaid,59,Android,4
28,Female,35,North,2023-09-25,Postpaid,28,Android,1
29,Female,51,North,2024-11-13,Postpaid,15,Android,0
30,Male,49,East,2023-07-13,Postpaid,31,Android,3
31,Female,43,South,2025-02-15,Postpaid,12,iOS,1
32,Male,25,West,2022-09-04,Prepaid,41,iOS,1
33,Male,58,East,2023-03-31,Prepaid,34,Android,4
34,Male,43,North,2024-12-02,Prepaid,14,iOS,3
35,Male,44,West,2025-09-23,Postpaid,4,Android,2
36,Male,47,North,2024-06-02,Prepaid,20,Android,5
37,Male,32,North,2025-08-27,Prepaid,5,iOS,2
38,Male,40,West,2024-10-19,Postpaid,15,Android,5
39,Male,45,East,2025-04-30,Prepaid,9,Android,5
40,Male,27,West,2025-12-04,Postpaid,2,Android,3
41,Female,37,North,2022-04-08,Postpaid,46,Feature Phone,3
42,Female,48,North,2024-10-19,Prepaid,15,iOS,4
43,Female,49,South,2024-09-23,Prepaid,16,Android,0
44,Male,29,West,2024-08-22,Prepaid,17,Feature Phone,0
45,Male,50,North,2024-01-01,Postpaid,25,Android,4
46,Female,50,West,2024-12-20,Prepaid,13,Feature Phone,3
